participant_id,age,gender,education_level,technical_background,daily_video_consumption,hunyuan_visual_quality,hunyuan_realism,hunyuan_motion_smoothness,hunyuan_prompt_adherence,hunyuan_overall_satisfaction,hunyuan_artifacts_severity,hunyuan_ease_of_use,hunyuan_professional_suitability,hunyuan_social_media_suitability,hunyuan_willingness_to_pay,veo_visual_quality,veo_realism,veo_motion_smoothness,veo_prompt_adherence,veo_overall_satisfaction,veo_artifacts_severity,veo_ease_of_use,veo_professional_suitability,veo_social_media_suitability,veo_willingness_to_pay,cogvideo2b_visual_quality,cogvideo2b_realism,cogvideo2b_motion_smoothness,cogvideo2b_prompt_adherence,cogvideo2b_overall_satisfaction,cogvideo2b_artifacts_severity,cogvideo2b_ease_of_use,cogvideo2b_professional_suitability,cogvideo2b_social_media_suitability,cogvideo2b_willingness_to_pay,cogvideo5b_visual_quality,cogvideo5b_realism,cogvideo5b_motion_smoothness,cogvideo5b_prompt_adherence,cogvideo5b_overall_satisfaction,cogvideo5b_artifacts_severity,cogvideo5b_ease_of_use,cogvideo5b_professional_suitability,cogvideo5b_social_media_suitability,cogvideo5b_willingness_to_pay,cogvideo15_visual_quality,cogvideo15_realism,cogvideo15_motion_smoothness,cogvideo15_prompt_adherence,cogvideo15_overall_satisfaction,cogvideo15_artifacts_severity,cogvideo15_ease_of_use,cogvideo15_professional_suitability,cogvideo15_social_media_suitability,cogvideo15_willingness_to_pay,rank_hunyuan,rank_veo,rank_cogvideo2b,rank_cogvideo5b,rank_cogvideo15
P011,25,Male,PhD,AI/ML Specialist,> 5 hours/day,5,5,4,4,5,2,3,3,4,3,4,5,2,5,5,3,5,4,5,5,4,2,2,3,2,2,3,2,3,2,4,3,4,2,3,2,4,3,3,2,3,3,3,3,3,3,2,2,2,1,1,2,5,5,5
P012,35,Prefer not to say,Master's Degree,Technical Professional,1-3 hours/day,5,5,4,3,4,3,2,3,4,4,5,4,3,5,5,2,4,4,4,4,4,4,2,4,3,3,3,3,3,2,3,4,3,2,2,4,3,2,2,3,3,3,2,4,2,3,3,1,3,3,1,2,4,5,3
P013,45,Male,Master's Degree,Technical Professional,3-5 hours/day,3,4,3,4,5,2,2,4,4,5,3,3,3,4,4,2,5,3,4,3,2,3,2,2,3,4,4,3,3,3,3,2,3,3,2,3,3,4,3,3,2,4,3,4,3,4,3,2,3,1,2,1,3,4,4
P014,45,Female,Bachelor's Degree,Some Technical Knowledge,< 1 hour/day,4,5,4,4,4,2,3,5,4,2,5,5,3,4,5,1,5,4,4,4,3,3,2,3,3,3,3,2,3,1,2,4,3,4,3,3,3,4,3,2,4,3,2,4,3,4,1,1,3,2,2,1,3,3,3
P015,38,Female,Bachelor's Degree,Some Technical Knowledge,1-3 hours/day,4,5,4,4,4,1,2,3,4,3,4,4,4,3,4,1,5,4,5,5,2,4,4,3,4,3,2,2,2,3,3,2,3,3,3,2,2,3,4,3,3,2,2,2,3,3,3,2,3,1,2,1,5,4,3
P016,30,Male,PhD,No Technical Background,1-3 hours/day,5,5,4,4,5,2,2,5,4,3,4,4,2,3,4,2,5,4,4,5,2,2,3,3,2,4,2,1,2,3,2,4,3,3,3,3,4,3,4,2,2,4,2,3,3,5,2,1,4,2,2,1,5,4,3
P017,28,Male,Master's Degree,Technical Professional,1-3 hours/day,5,5,3,5,5,1,3,4,3,5,3,5,3,4,5,3,5,3,4,4,2,4,2,3,2,3,2,1,2,2,3,2,3,3,2,3,3,3,4,1,3,2,2,3,3,5,1,3,4,3,2,1,4,4,5
P018,38,Female,Bachelor's Degree,No Technical Background,3-5 hours/day,5,4,4,5,5,3,3,5,4,2,3,4,4,4,4,2,5,5,5,5,2,3,2,3,2,3,3,2,4,2,4,2,3,3,3,4,4,3,2,1,3,3,3,2,2,3,2,1,4,2,2,1,5,5,3
P019,38,Female,Bachelor's Degree,Some Technical Knowledge,1-3 hours/day,4,4,5,3,4,2,3,4,3,2,5,5,3,4,4,2,4,4,5,5,4,2,2,3,2,3,2,1,3,2,2,3,4,3,3,2,2,3,3,2,3,2,1,3,3,4,2,4,4,1,2,1,4,3,5
P020,25,Male,Bachelor's Degree,Some Technical Knowledge,3-5 hours/day,5,5,4,4,3,2,2,5,4,2,4,5,3,5,5,2,5,5,4,4,3,3,3,2,3,3,3,2,2,2,3,4,2,4,3,3,4,3,2,2,2,2,2,3,3,4,1,2,2,3,2,1,4,5,5
P021,32,Male,High School,Technical Professional,1-3 hours/day,5,5,5,5,4,1,2,5,4,2,4,5,3,5,4,1,5,5,5,2,3,3,3,2,3,3,3,1,2,1,2,4,2,3,3,4,3,3,3,4,2,2,1,4,2,4,3,3,2,3,2,1,5,3,4
P022,30,Male,Bachelor's Degree,Some Technical Knowledge,1-3 hours/day,4,5,4,4,5,3,2,4,4,2,5,4,3,3,4,2,4,4,5,4,3,3,3,3,3,3,2,1,3,3,3,3,2,3,3,3,2,3,4,1,2,3,3,2,4,3,2,2,3,1,2,1,3,4,3
P023,22,Male,Bachelor's Degree,Technical Professional,1-3 hours/day,5,4,3,4,4,2,2,3,4,4,4,5,3,5,4,1,4,4,4,5,4,4,3,2,2,3,2,2,2,1,3,4,2,3,3,3,2,3,4,3,4,2,2,4,3,4,3,3,2,3,2,1,4,3,3
P024,38,Female,Bachelor's Degree,Technical Professional,1-3 hours/day,5,5,4,4,5,1,3,5,3,4,5,5,2,5,4,1,5,3,3,3,4,2,3,2,3,3,2,3,2,2,3,2,3,3,3,2,3,2,3,1,4,2,3,3,3,3,2,3,3,4,2,1,4,5,3
P025,48,Female,High School,No Technical Background,3-5 hours/day,5,5,4,4,4,1,4,5,4,3,3,4,2,5,4,3,4,4,5,5,2,3,4,3,2,3,4,1,4,3,3,4,3,3,3,4,3,2,4,3,2,2,2,3,3,4,1,2,3,1,3,1,4,2,5
P026,52,Female,Bachelor's Degree,Technical Professional,1-3 hours/day,4,5,5,5,5,2,3,3,4,3,4,3,3,3,4,2,5,5,3,3,3,2,2,2,4,4,2,2,3,3,3,3,4,3,3,2,4,3,4,4,2,3,3,4,3,4,2,2,3,3,2,4,1,3,5
P027,32,Male,Master's Degree,Technical Professional,< 1 hour/day,4,5,3,3,5,1,3,5,4,2,3,5,4,5,5,2,5,4,4,2,2,3,3,3,2,3,3,3,3,2,3,3,2,3,2,3,2,3,3,2,2,4,4,3,3,4,1,2,3,3,5,1,4,3,2
P028,22,Male,Master's Degree,Some Technical Knowledge,1-3 hours/day,5,5,4,5,5,3,3,5,5,3,3,5,3,4,5,1,5,4,3,4,2,3,3,3,3,2,4,1,4,2,3,4,4,2,3,3,2,3,4,3,2,3,3,3,3,4,2,2,3,2,1,4,5,3,2
P029,48,Male,Master's Degree,AI/ML Specialist,1-3 hours/day,5,5,4,4,4,1,3,5,3,4,4,4,2,5,5,1,4,4,5,2,2,2,3,3,4,3,3,3,3,1,3,3,4,2,3,2,3,3,3,1,4,3,3,4,2,4,3,1,3,1,1,4,5,2,3
P030,30,Female,PhD,Technical Professional,3-5 hours/day,4,4,5,4,4,1,3,5,4,4,3,5,3,5,5,1,5,4,4,5,3,2,3,3,3,3,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3,2,2,4,1,5,4,3,2,1
P031,18,Male,Master's Degree,Technical Professional,3-5 hours/day,3,5,2,4,5,2,3,5,4,2,3,5,3,5,5,1,4,5,4,5,3,2,3,3,4,3,3,1,2,1,3,3,4,3,3,2,3,3,3,2,3,3,3,2,3,3,2,2,3,3,5,2,1,4,3
P032,48,Male,PhD,Technical Professional,1-3 hours/day,5,5,5,4,4,1,3,4,4,4,4,3,2,5,4,2,4,4,3,5,2,2,3,2,2,3,4,3,4,2,3,4,5,3,4,2,4,3,3,4,2,2,2,4,3,4,1,2,4,4,4,2,5,1,3
